,Time (s),Row x Col
16x11,0.001454,176
22x8,0.001815,176
44x4,0.004932,176
88x2,0.015978,176
59x3,0.007959,177
89x2,0.016647,178
15x12,0.001463,180
18x10,0.001568,180
20x9,0.00171,180
30x6,0.002794,180
36x5,0.003658,180
45x4,0.005149,180
60x3,0.00864,180
90x2,0.017137,180
14x13,0.001496,182
26x7,0.002301,182
91x2,0.017404,182
61x3,0.008773,183
23x8,0.00202,184
46x4,0.005462,184
92x2,0.018376,184
37x5,0.003975,185
31x6,0.003046,186
62x3,0.009054,186
93x2,0.018571,186
17x11,0.001627,187
47x4,0.005813,188
94x2,0.019402,188
21x9,0.001872,189
27x7,0.002554,189
63x3,0.009593,189
19x10,0.001734,190
38x5,0.004197,190
95x2,0.019702,190
16x12,0.001648,192
24x8,0.002256,192
32x6,0.003299,192
48x4,0.006157,192
64x3,0.009889,192
96x2,0.020229,192
97x2,0.02106,194
15x13,0.001655,195
39x5,0.004506,195
65x3,0.010313,195
28x7,0.002737,196
49x4,0.006455,196
98x2,0.022158,196
18x11,0.001797,198
22x9,0.002106,198
33x6,0.003558,198
66x3,0.01072,198
99x2,0.022182,198
20x10,0.001919,200
25x8,0.002462,200
40x5,0.004753,200
50x4,0.006719,200
100x2,0.022816,200
67x3,0.011232,201
101x2,0.023417,202
29x7,0.002987,203
17x12,0.001839,204
34x6,0.003801,204
51x4,0.007147,204
68x3,0.011666,204
102x2,0.024076,204
41x5,0.005058,205
103x2,0.025338,206
23x9,0.002318,207
69x3,0.01207,207
16x13,0.001873,208
26x8,0.002719,208
52x4,0.007609,208
104x2,0.025651,208
19x11,0.001966,209
15x14,0.001903,210
21x10,0.002193,210
30x7,0.003305,210
35x6,0.004146,210
42x5,0.0054,210
70x3,0.0128,210
53x4,0.007889,212
71x3,0.013737,213
43x5,0.005756,215
18x12,0.00208,216
24x9,0.002575,216
27x8,0.002943,216
36x6,0.004466,216
54x4,0.008292,216
72x3,0.013635,216
31x7,0.003534,217
73x3,0.014134,219
20x11,0.002198,220
22x10,0.002396,220
44x5,0.006275,220
55x4,0.008978,220
17x13,0.002065,221
37x6,0.004823,222
74x3,0.014956,222
16x14,0.00214,224
28x8,0.003289,224
32x7,0.003817,224
56x4,0.009026,224
25x9,0.002841,225
45x5,0.006522,225
75x3,0.015582,225
19x12,0.002299,228
38x6,0.005035,228
57x4,0.009733,228
76x3,0.016176,228
23x10,0.002619,230
46x5,0.006909,230
21x11,0.002439,231
33x7,0.004133,231
77x3,0.016767,231
29x8,0.003484,232
58x4,0.010312,232
18x13,0.002278,234
26x9,0.00308,234
39x6,0.005473,234
78x3,0.01732,234
47x5,0.007291,235
59x4,0.010582,236
79x3,0.017567,237
17x14,0.002345,238
34x7,0.004536,238
16x15,0.002447,240
20x12,0.002474,240
24x10,0.002872,240
30x8,0.003793,240
40x6,0.005684,240
48x5,0.007612,240
60x4,0.011029,240
80x3,0.018062,240
22x11,0.002705,242
27x9,0.003354,243
81x3,0.019227,243
61x4,0.011561,244
35x7,0.00483,245
49x5,0.008057,245
41x6,0.0061,246
82x3,0.019753,246
19x13,0.002528,247
31x8,0.004156,248
62x4,0.012206,248
